vhvl-nterminal+cd20	vhvl-nterminal+cd20
105,402457242832	-13,2186699807644
99,6907857595943	-34,4038163870573
110,415208043065	-29,0027042031288
84,4176501785405	-30,493095651269
103,288508619648	-5,75010670721531
81,9313257816248	-10,0427661985159
80,7225367315114	-20,292839974165
91,6589267631062	-14,0614261478186
91,4870610213839	-16,8678456991911
77,2565776067786	-19,1470237076283
80,6595192928799	-20,4755063354969
81,8912237752229	-9,98049357533455
89,2413486628793	-24,3073484152556
81,4558305628598	-21,45526227355
94,0134874247015	-17,8019350469112
94,7353235399351	-10,420553445816
76,3571468917653	-33,1708184480667
72,5016254191287	-18,8771756738424
83,4265577346087	-22,4806848019362
57,789917927701	-17,3037540614605
83,1744879800826	-20,7993239760399
54,2380259321071	-35,91911688447
69,8720795707777	-27,757251739502
69,4882460809313	-25,0795289427042
91,9052676595748	-16,0624531060457
78,6658766889013	-44,8988291472197
87,4940469553694	-38,8044150918722
80,4876535511576	-27,7240396738052
99,238205973059	-15,194787889719
87,1216711816378	1,51918417215347
82,7333659096621	-5,84143988788128
84,0968341273256	-4,79110831022263
88,2731716511771	-10,9228859394789
87,7919475743547	-19,23005387187
95,9269260158762	-6,21507562696934
93,2572781611234	-15,5310600548983
84,7556528039277	-31,8423358201981
77,7664459738881	-27,2839798033238
71,9172818972729	-13,3681242763996
89,3043661015108	-14,6343342810869
78,8320135725662	-11,5414606630802
75,1483578416519	-17,5943596363068
83,7015429213643	-15,2279999554157
55,8363773301244	-33,274606153369
67,6951135089621	-20,8449905663729
65,7129286210984	-36,7037519365549
90,3928491324186	-19,1926902979612
82,9797068061307	-11,8735813200474
67,9013523990289	-24,8594990074635
83,8905952372588	-16,9384213387966
90,4329511388205	-8,58143530786038
79,6856134231202	-24,5647419244051
55,1718297954649	-46,2563723325729
61,2215039040893	-32,6352738887072
69,8377064224333	-25,9679517000914
74,5181834553369	-23,5144103467464
77,2222044584341	-25,2912558615208
92,0828622593545	-21,6586861759424
89,6309110107832	-19,9109012186527
81,7881043301895	-26,8688289821148
90,5876303063706	-42,9642263203859
81,4271862725727	-31,5558817535639
68,8924448429607	-38,4432338774204
64,4525798484683	-32,3903349041939
65,6441823244095	-40,3819882124662
93,3603976061568	-22,3270789980888
102,927590562031	-9,46985806524754
96,3164883637801	-22,4350182116032
102,30887389183	-0,0874495059251785
73,7619741917588	-22,0945945382118
82,0229875105433	-1,3495080024004
74,0426882365719	-2,70705118775368
71,3959558140487	2,05472873151302
66,4290358782746	-17,4449053406715
63,5015894109383	-18,2046313434839
73,3895984180272	-26,7484352439642
98,4533524191939	-12,2762776166201
91,6073670405895	-19,4168717414141
82,0630895169452	-32,6518799215555
85,8384069767781	-35,6243598014116
79,9777851840481	-28,874007448554
80,9230467635207	-24,5273783504963
90,8798020672985	-38,9538693875074
116,44196671946	-9,99709960818291
84,480667617172	-48,8303074240685
129,005352439359	-23,0909565091133
101,615682066884	-21,546595454216
100,996965396684	-37,7416289895773
94,6379329529591	-26,4038600623608
97,2273767949082	-37,8288106620312
88,4908682573587	-44,5002843588591
101,592766634654	-39,7592619806528
103,517662941944	-44,6455871462822
92,873444671277	-37,3015691190958
102,469281917438	-28,363371938467
94,3228457598016	-28,5750988572836
89,7111150235869	-24,5730449408293
84,7499239458703	-39,1323842406273
84,6238890686073	-30,3519443720579
85,8670512670651	-16,9716334044933
90,8397000608966	-7,40240697562695
93,474974767305	-2,31265790760517
77,9383117156103	12,437650769949
79,0611678948626	-28,1142814457417
95,4571596551687	5,86996477842331
98,0924343615771	11,6073491275311
81,5875942981802	-7,43977054953575
107,590881020762	-0,681115180253983
108,897060657851	3,64060486853123
90,369933700189	-30,6300954222679
81,6047808723524	-47,5474913865328
59,8752222605981	-44,2470423579216
91,2750932732597	-28,0229482650757
104,216583624948	-16,0873621553183
87,362283220049	-29,2808552533388
87,5971664004028	-29,1314009577036
85,2254191646353	-0,390509605407715
98,8142704768107	15,5429789125919
105,608696132898	-13,4636089652777
86,2623424730264	-16,5813916325569
80,4017206802964	-37,4427203983069
95,2967516295612	-26,6321930140257
108,484582877718	10,2747149914503
98,8199993348681	6,10244923830033
109,183503560722	-8,84298032522202
92,1573374141008	-4,69562362134457
100,7391667841	4,78642113506794
71,5563638396561	0,693034037947655
109,750660508405	6,18547940254212
115,657113165595	-0,485994294285774
91,8193347887136	-10,8274012506008
100,962592248339	-5,25192572176457
95,434244222939	-19,2508114129305
