@TYPE	xy
@	subtitle
24,6800003	0,7184989
24,7200012	0,6672335
24,7600002	0,6806681
24,8000011	0,6518393
24,8400021	0,4697558
24,8800011	0,5587465
24,920002	0,5177461
24,960001	0,3513431
25,0000019	0,460959
25,0400009	0,543773
25,0800018	0,4709401
25,1200008	0,537322
25,1600018	0,6772304
25,2000008	0,6565931
25,2400017	0,6930723
25,2800007	0,7851042
25,3200016	0,8277729
25,3600006	0,9058667
25,4000015	0,7543561
25,4400005	0,8660396
25,4800014	0,8856977
25,5200005	0,9012484
25,5600014	0,9395158
25,6000004	0,9133976
25,6400013	1,0400165
25,6800003	1,0791715
25,7200012	1,1369125
25,7600021	1,0578535
25,8000011	1,3754156
25,8400021	1,2810233
25,8800011	1,3466413
25,920002	1,3345147
25,960001	1,2885108
26,0000019	1,2169275
26,0400009	1,1592375
26,0800018	1,158862
26,1200008	1,0505737
26,1600018	1,0266168
26,2000008	1,0645332
26,2400017	1,0724019
26,2800007	1,063588
26,3200016	1,1096828
26,3600006	1,0291234
26,4000015	1,1657075
26,4400005	1,0809419
26,4800014	1,1330042
26,5200005	1,2836618
26,5600014	1,3303154
26,6000004	1,4783331
26,6400013	1,5194926
26,6800022	1,6020654
26,7200012	1,5919271
26,7600021	1,5646793
26,8000011	1,6457155
26,8400021	1,6488627
26,8800011	1,5362996
26,920002	1,6588558
26,960001	1,5933372
27,0000019	1,6401033
27,0400009	1,6073146
27,0800018	1,5946864
27,1200008	1,6017849
27,1600018	1,5039835
27,2000008	1,2492671
27,2400017	1,3438722
27,2800007	1,4439163
27,3200016	1,4911281
27,3600006	1,2757913
27,4000015	1,3579606
27,4400005	1,320609
27,4800014	1,3709992
27,5200005	1,2860184
27,5600014	1,3133169
27,6000004	1,337366
27,6400013	1,2928319
27,6800022	1,3798696
27,7200012	1,4309137
27,7600021	1,2665738
27,8000011	1,1979522
27,8400021	1,0714375
27,8800011	1,0909508
27,920002	1,1483492
27,960001	1,1133579
28,0000019	1,2613063
28,0400009	1,2279229
28,0800018	1,1693171
28,1200008	1,2584785
28,1600018	1,4116189
28,2000008	1,5091548
28,2400017	1,5444232
28,2800007	1,736473
28,3200016	1,4868613
28,3600006	1,4891673
28,4000015	1,5407366
28,4400005	1,6052258
28,4800014	1,4632649
28,5200005	1,2426112
28,5600014	1,1021856
28,6000023	1,0302602
28,6400013	0,9995044
28,6800022	1,1216981
28,7200012	1,3139846
28,7600021	1,2139807
28,8000011	1,1117903
28,8400021	1,2507308
28,8800011	1,2639904
28,920002	1,3662056
28,960001	1,4529829
29,0000019	1,4333928
29,0400009	1,4060113
29,0800018	1,3399702
29,1200008	1,2846133
29,1600018	1,3996432
29,2000008	1,4213039
29,2400017	1,4137472
29,2800007	1,3968024
29,3200016	1,3002294
29,3600006	1,3105711
29,4000015	1,4279802
29,4400005	1,357372
29,4800014	1,1751732
29,5200005	1,3666319
29,5600014	1,2704222
29,6000023	1,3632952
29,6400013	1,3460903
29,6800022	1,4119087
29,7200012	1,3902826
29,7600021	1,5204635
29,8000011	1,4359065
29,8400021	1,5132287
29,8800011	1,4036235
29,920002	1,4169291
29,960001	1,3980172
30,0000019	1,497097
30,0400009	1,2714145
30,0800018	1,223832
30,1200008	1,4393288
30,1600018	1,4565606
30,2000008	1,4526844
30,2400017	1,5348027
30,2800007	1,3339571
30,3200016	1,4363499
30,3600006	1,2866423
30,4000015	1,3075062
30,4400005	1,2495711
30,4800014	1,4264797
30,5200024	1,6088668
30,5600014	1,5159225
30,6000023	1,5441682
30,6400013	1,4783912
30,6800022	1,6916016
30,7200012	1,5406798
30,7600021	1,5984656
30,8000011	1,4790589
30,8400021	1,5180781
30,8800011	1,5717425
30,920002	1,5376122
30,960001	1,5106033
31,0000019	1,4538717
31,0400009	1,5336772
31,0800018	1,4168878
31,1200008	1,448085
31,1600018	1,4483256
31,2000008	1,3938872
31,2400017	1,3771999
31,2800007	1,4083788
31,3200016	1,2894807
31,3600006	1,509831
31,4000015	1,5011169
31,4400024	1,3861445
31,4800014	1,4142913
31,5200024	1,6552315
31,5600014	1,8192345
31,6000023	1,9038668
31,6400013	1,8424381
31,6800022	1,7338117
31,7200012	1,7511983
31,7600021	1,7079611
31,8000011	1,5544921
31,8400021	1,483236
31,8800011	1,6389288
31,920002	1,7979604
31,960001	1,7829463
32	1,8401881
32,0400009	1,7251905
32,0800018	1,6138704
32,1200027	1,7469147
32,1599998	1,9179531
32,2000008	2,0082316
32,2400017	1,8702681
32,2800026	1,7825352
32,3199997	1,7292491
32,3600006	1,7154759
32,4000015	1,8927395
32,4400024	1,8496912
32,4800034	1,9858186
32,5200005	2,0030611
32,5600014	1,9566844
32,6000023	1,9032717
32,6400032	1,8799089
32,6800003	1,9255394
32,7200012	1,9617831
32,7600021	2,0051346
32,8000031	1,8515515
32,8400002	1,7667825
32,8800011	1,7762557
32,920002	1,8327466
32,9600029	1,7263412
33	1,7170938
33,0400009	1,6654654
33,0800018	1,7635633
33,1200027	1,8795733
33,1599998	1,7918696
33,2000008	1,775018
33,2400017	1,808655
33,2800026	1,8084722
33,3199997	1,864289
33,3600006	1,9029645
33,4000015	1,9027624
33,4400024	2,089191
33,4800034	2,119138
33,5200005	1,9778662
33,5600014	1,8752873
33,6000023	1,8503518
33,6400032	1,85394
33,6800003	1,6752436
33,7200012	1,5855839
33,7600021	1,6369916
33,8000031	1,6474859
33,8400002	1,829697
33,8800011	1,7082421
33,920002	1,838436
33,9600029	1,9198002
34	1,9040996
34,0400009	1,9665992
34,0800018	1,8203838
34,1200027	1,864212
34,1599998	1,8920892
34,2000008	1,8632256
34,2400017	1,8352373
34,2800026	1,8549315
34,3200035	2,0363328
34,3600006	1,9336896
34,4000015	2,0062451
34,4400024	2,1062338
34,4800034	2,0766554
34,5200005	2,1402414
34,5600014	2,1233575
34,6000023	2,1461623
34,6400032	2,2315381
34,6800003	2,3528023
34,7200012	2,3462062
34,7600021	2,2822464
34,8000031	2,3898256
34,8400002	2,5013514
34,8800011	2,4799476
34,920002	2,4598391
34,9600029	2,3617725
35	2,224581
35,0400009	2,2750638
35,0800018	2,5641084
35,1200027	2,226012
35,1599998	2,1709027
35,2000008	2,2810981
35,2400017	2,2100415
35,2800026	2,3309016
35,3200035	2,2036037
35,3600006	2,1608608
35,4000015	2,0853896
35,4400024	1,8970275
35,4800034	1,7285122
35,5200005	1,8146815
35,5600014	1,938676
35,6000023	2,1581154
35,6400032	2,0733559
35,6800003	1,9812988
35,7200012	2,035686
35,7600021	1,9756867
35,8000031	2,0149481
35,8400002	2,0217788
35,8800011	2,0988827
35,920002	2,0365679
35,9600029	2,1432574
36	1,9267993
36,0400009	1,9613791
36,0800018	2,0019596
36,1200027	2,0663879
36,1599998	2,2728784
36,2000008	2,1823673
36,2400017	2,0430493
36,2800026	2,1245854
36,3200035	2,0632873
36,3600006	1,9882628
36,4000015	2,2080903
36,4400024	2,127938
36,4800034	2,0374608
36,5200005	1,9926195
36,5600014	1,9891033
36,6000023	1,9632057
36,6400032	2,0021653
36,6800003	1,8889757
36,7200012	1,9491874
36,7600021	2,1298916
36,8000031	2,2843688
36,8400002	2,0293612
36,8800011	1,974921
36,920002	2,1264019
36,9600029	2,34535
37	2,261436
37,0400009	2,1909971
37,0800018	2,2366424
37,1200027	2,1595011
