@TYPE	VH+VL	VH	VL	CD20
@	R228E	R228E	R228E	R228E
7,0000005	0,1203353	0,1143348	0,1038221	0,1372782
7,0400004	0,1206752	0,1060986	0,1098527	0,1512314
7,0800004	0,1284159	0,1088602	0,1046189	0,1233032
7,1200004	0,1268162	0,1025952	0,1026441	0,1272928
7,1600003	0,1273555	0,1250493	0,1131405	0,1193254
7,2000003	0,1210247	0,1133386	0,1062641	0,1167608
7,2400002	0,1264738	0,1138802	0,1161893	0,1227166
7,2800002	0,1323489	0,0985165	0,1087966	0,1321914
7,3200002	0,1271732	0,1060033	0,116934	0,1260755
7,3600001	0,1250958	0,1076704	0,1010646	0,1103497
7,4000006	0,1165611	0,1064129	0,1176555	0,1099155
7,4400005	0,1232769	0,109375	0,1263294	0,1098079
7,4800005	0,1273665	0,1128244	0,1270582	0,1167569
7,5200005	0,1218088	0,1134816	0,1109975	0,1201663
7,5600004	0,1223648	0,1254559	0,1114547	0,1125516
7,6000004	0,1227934	0,1131463	0,1272527	0,1026953
7,6400003	0,1215101	0,1083617	0,1235312	0,0943177
7,6800003	0,1177969	0,1152991	0,113728	0,1074027
7,7200003	0,124872	0,119742	0,1117278	0,1066763
7,7600002	0,1163706	0,1129261	0,1123185	0,0994296
7,8000002	0,133029	0,1252191	0,1253534	0,1230022
7,8400002	0,1324254	0,1171049	0,1172245	0,0984422
7,8800006	0,1270856	0,1229495	0,1009704	0,1102517
7,9200006	0,1179113	0,1132766	0,1006514	0,116063
7,9600005	0,1371936	0,1410175	0,0998376	0,1160064
8	0,1326037	0,1189919	0,117666	0,1084592
8,04	0,1324644	0,1293485	0,1191023	0,1035394
8,0799999	0,1383726	0,1175675	0,1190508	0,1009245
8,1200008	0,1600644	0,1537708	0,1139845	0,1057073
8,1600008	0,1326352	0,1227789	0,1212043	0,1122303
8,2000008	0,1340244	0,1210029	0,11907	0,1150128
8,2400007	0,1351816	0,1269829	0,1258194	0,1151468
8,2800007	0,124865	0,101166	0,1199505	0,1222071
8,3200006	0,1204814	0,1046392	0,1182411	0,1195887
8,3600006	0,1255857	0,1029963	0,1251079	0,1178933
8,4000006	0,1225267	0,1163236	0,1107659	0,1139989
8,4400005	0,1199647	0,1184836	0,1120316	0,1169283
8,4800005	0,1267345	0,1278163	0,1014802	0,1121528
8,5200005	0,1345899	0,1306326	0,1125252	0,1370852
8,5600004	0,1177699	0,1176893	0,1066848	0,1305774
8,6000004	0,1377746	0,1436352	0,1084078	0,1309317
8,6400003	0,1335925	0,1337886	0,0994488	0,1297135
8,6800003	0,1379571	0,1412401	0,1092246	0,1314425
8,7200003	0,1271493	0,1285108	0,1048016	0,1264393
8,7600002	0,1343841	0,1216047	0,1062493	0,1207439
8,8000002	0,1374863	0,1459786	0,1080406	0,1274778
8,8400002	0,128958	0,1256908	0,1084633	0,1197563
8,8800001	0,1455563	0,139515	0,105522	0,1323389
8,9200001	0,1393049	0,1449723	0,1058271	0,1227229
8,96	0,1270213	0,1340846	0,0928745	0,124092
9	0,131122	0,1168475	0,1009077	0,1319839
9,04	0,1287552	0,1280604	0,0951092	0,1172494
9,0800009	0,1328024	0,1427884	0,0971384	0,1172682
9,1200008	0,1450948	0,1399748	0,1022393	0,1261096
9,1600008	0,1381005	0,1422512	0,0965741	0,1260311
9,2000008	0,1347852	0,1384172	0,1053848	0,1212482
9,2400007	0,1352117	0,1415327	0,1071238	0,1124283
9,2800007	0,1432159	0,1480906	0,1132838	0,1181347
9,3200006	0,132903	0,1318126	0,1095678	0,1226357
9,3600006	0,1389257	0,1426788	0,113226	0,1177781
9,4000006	0,1420321	0,1423948	0,1061512	0,1654296
9,4400005	0,1393659	0,1312615	0,1095896	0,1531705
9,4800005	0,1302911	0,1151994	0,1128232	0,1382544
9,5200005	0,1469918	0,1481005	0,1031398	0,1592735
9,5600004	0,1295782	0,1310176	0,1029453	0,1338778
9,6000004	0,1456482	0,1552027	0,1139383	0,147671
9,6400003	0,1287267	0,1332299	0,0979764	0,1627808
9,6800003	0,1324974	0,1292275	0,1064349	0,1364228
9,7200003	0,1395377	0,1493328	0,0991011	0,1337177
9,7600002	0,1359149	0,1379829	0,1083542	0,1286626
9,8000002	0,146331	0,1509883	0,118008	0,1310094
9,8400002	0,1395898	0,1249941	0,1217806	0,1441071
9,8800001	0,1424309	0,1443383	0,1012966	0,1368073
9,9200001	0,1304135	0,1353245	0,1092126	0,1479338
9,96	0,1405554	0,1315332	0,101267	0,1371176
10	0,1327326	0,1365708	0,0984362	0,1366408
10,0400009	0,1379058	0,1292553	0,1008341	0,1406842
10,0800009	0,140272	0,1271605	0,0939086	0,1295558
10,1200008	0,1334838	0,1357373	0,1012252	0,1358556
10,1600008	0,1283353	0,1234299	0,1099409	0,1323344
10,2000008	0,1487711	0,1341084	0,1250755	0,1206457
10,2400007	0,1468469	0,1419164	0,1047531	0,1380498
10,2800007	0,1395499	0,1427659	0,1088504	0,1305887
10,3200006	0,1416463	0,1420874	0,116612	0,1406857
10,3600006	0,1465989	0,1307095	0,1129667	0,1471817
10,4000006	0,1467935	0,1408927	0,1026223	0,1561438
10,4400005	0,1387862	0,1260145	0,0996749	0,1498027
10,4800005	0,1320027	0,1316165	0,1087372	0,1446482
10,5200005	0,1523413	0,1417219	0,1273131	0,1455247
10,5600004	0,1423823	0,1362554	0,1053784	0,1430413
10,6000004	0,1368833	0,1351973	0,10999	0,1461889
10,6400003	0,1278891	0,1246773	0,1111162	0,1459343
10,6800003	0,1351306	0,1193521	0,1029157	0,1474971
10,7200003	0,1390401	0,1332889	0,1155124	0,1360303
10,7600002	0,1335292	0,1307046	0,1047504	0,1573448
10,8000002	0,1359995	0,1290267	0,1106783	0,1378339
10,8400002	0,1372209	0,1284174	0,1128875	0,1206741
10,8800001	0,1471954	0,1287001	0,1181594	0,1217859
10,9200001	0,1423068	0,1363385	0,1070758	0,1274679
10,960001	0,1287614	0,1271698	0,1090786	0,1274018
11,000001	0,152085	0,1448894	0,1068648	0,121427
11,0400009	0,1367546	0,1292197	0,103847	0,13142
11,0800009	0,1529083	0,1410615	0,093434	0,1256338
11,1200008	0,1400709	0,1410204	0,1072621	0,1505401
11,1600008	0,1252797	0,1167927	0,0975114	0,1382259
11,2000008	0,1300759	0,1284171	0,0988624	0,1419488
11,2400007	0,127974	0,1240227	0,1016252	0,1251695
11,2800007	0,1460529	0,139044	0,1164961	0,1323229
11,3200006	0,1416339	0,1366312	0,1147124	0,1023048
11,3600006	0,1307384	0,1267022	0,1007537	0,1431062
11,4000006	0,1374745	0,1333753	0,1018581	0,1297038
11,4400005	0,1261796	0,1223429	0,106535	0,1353906
11,4800005	0,1239319	0,1287581	0,0992958	0,125333
11,5200005	0,12815	0,1241918	0,1027009	0,1167794
11,5600004	0,1204372	0,1153185	0,1027271	0,1497818
11,6000004	0,1375307	0,1242037	0,122219	0,1135721
11,6400003	0,1189564	0,1150867	0,0989241	0,1139379
11,6800003	0,1322839	0,1250091	0,097391	0,1298166
11,7200003	0,1226884	0,1162722	0,09681	0,118118
11,7600002	0,141759	0,1238856	0,1119703	0,1297619
11,8000002	0,141983	0,1291429	0,1017693	0,1325167
11,8400002	0,1378607	0,1324157	0,1042625	0,1295414
11,8800001	0,1323063	0,1313846	0,0981432	0,1345754
11,920001	0,1312413	0,1201904	0,109493	0,1430318
11,960001	0,128079	0,1212376	0,0946793	0,1175165
12,000001	0,1268606	0,1169083	0,1186282	0,1366126
12,0400009	0,1201971	0,1067204	0,09771	0,1303077
12,0800009	0,1124494	0,1118371	0,0879598	0,1360647
12,1200008	0,128998	0,12863	0,1051596	0,1323494
12,1600008	0,1186295	0,1107359	0,0997009	0,118045
12,2000008	0,1342461	0,1173759	0,1111768	0,1273928
12,2400007	0,1460364	0,138208	0,1169067	0,1392357
12,2800007	0,1521021	0,1512911	0,1011489	0,1327559
12,3200006	0,1232051	0,1262777	0,0959323	0,148863
12,3600006	0,1378065	0,1416821	0,1000738	0,1450561
12,4000006	0,1289625	0,1329008	0,0927162	0,1215464
12,4400005	0,1279583	0,1363878	0,0914261	0,1216892
