@TYPE	VH+VL	VH	VL	CD20
@	D99N	D99N	D99N	D99N
6,6800003	0,1438655	0,1427049	0,1090822	0,1257418
6,7200003	0,1476647	0,1432313	0,1090019	0,1342906
6,7600002	0,147987	0,1384197	0,1012203	0,1475324
6,8000002	0,1368717	0,1305386	0,1092295	0,1397463
6,8400002	0,144401	0,146576	0,1204678	0,1325305
6,8800001	0,1532063	0,1364311	0,1236663	0,1428274
6,9200006	0,1371348	0,1310932	0,1163272	0,1394058
6,9600005	0,1467651	0,1364045	0,1269523	0,134395
7,0000005	0,1458778	0,1384182	0,1141842	0,1203792
7,0400004	0,1364453	0,1188173	0,1256809	0,1258768
7,0800004	0,1472508	0,1257119	0,1216591	0,155761
7,1200004	0,1434002	0,1219888	0,1211595	0,1566115
7,1600003	0,1547152	0,1369935	0,1408676	0,1354232
7,2000003	0,1557556	0,1322718	0,1333717	0,1357262
7,2400002	0,1497699	0,1450243	0,1209589	0,1226293
7,2800002	0,1590599	0,141092	0,1424876	0,1228551
7,3200002	0,1642175	0,1421856	0,1309481	0,1275618
7,3600001	0,1754861	0,1402143	0,1422087	0,1245129
7,4000006	0,1370545	0,1393358	0,101541	0,1154675
7,4400005	0,1389112	0,1491704	0,1011628	0,1105381
7,4800005	0,140382	0,1341825	0,1120904	0,1100587
7,5200005	0,138893	0,1251865	0,1016064	0,1142379
7,5600004	0,1426635	0,1308252	0,1098579	0,1047414
7,6000004	0,1281351	0,113795	0,1078786	0,1175197
7,6400003	0,1178461	0,1154073	0,0904828	0,1192955
7,6800003	0,1319163	0,1037278	0,1165958	0,1184858
7,7200003	0,124682	0,1246218	0,1066754	0,1142632
7,7600002	0,1250458	0,109739	0,1015016	0,1213451
7,8000002	0,1207751	0,1044062	0,1055438	0,1165871
7,8400002	0,1426396	0,1139207	0,1047261	0,1064314
7,8800006	0,1340168	0,113186	0,0964782	0,1273671
7,9200006	0,1384359	0,1032891	0,1069172	0,1175829
7,9600005	0,130305	0,1173449	0,0984083	0,1283896
8	0,1363662	0,1147574	0,0991769	0,1170526
8,04	0,1307459	0,1099697	0,1056497	0,1129313
8,0799999	0,1405941	0,1094921	0,1171102	0,1216314
8,1200008	0,1281823	0,0992911	0,1141231	0,1138432
8,1600008	0,1215898	0,1042386	0,1183582	0,1212259
8,2000008	0,1354689	0,1134511	0,1203641	0,1332686
8,2400007	0,1429669	0,1202981	0,1207998	0,1193964
8,2800007	0,1413482	0,1123792	0,1375826	0,1185112
8,3200006	0,1589559	0,117135	0,1459426	0,124885
8,3600006	0,1414021	0,1318924	0,1202199	0,1173212
8,4000006	0,137664	0,1283268	0,1162031	0,1126702
8,4400005	0,1322332	0,1171811	0,1185689	0,1088061
8,4800005	0,1346512	0,1201642	0,1174389	0,1026555
8,5200005	0,113614	0,109304	0,099663	0,1031004
8,5600004	0,1298859	0,1065753	0,1284374	0,1035447
8,6000004	0,1219223	0,094291	0,1135147	0,1109653
8,6400003	0,1100865	0,0911523	0,1184923	0,1096872
8,6800003	0,1138402	0,0822824	0,1285643	0,093423
8,7200003	0,1183701	0,0804737	0,1281977	0,0999415
8,7600002	0,1201646	0,0846075	0,1156124	0,1089609
8,8000002	0,1441648	0,099503	0,1265659	0,1328105
8,8400002	0,1392879	0,1039198	0,1298704	0,1059189
8,8800001	0,134521	0,1017077	0,1151646	0,1206207
8,9200001	0,1198017	0,0928778	0,1135443	0,1218682
8,96	0,1333627	0,0995973	0,136642	0,1106454
9	0,1169723	0,1010852	0,1139847	0,1217516
