@TYPE	VH+VL	VH	VL	CD20
@	Y107A	Y107A	Y107A	Y107A
7,0800004	0,1110819	0,0933491	0,0981438	0,0935113
7,1200004	0,1183451	0,0914795	0,1110507	0,0868063
7,1600003	0,1093291	0,0915866	0,1075897	0,0924265
7,2000003	0,1329154	0,0873566	0,1156874	0,0858775
7,2400002	0,1192851	0,0872815	0,1030429	0,1028475
7,2800002	0,1075399	0,0751724	0,1110501	0,099654
7,3200002	0,1128822	0,0911143	0,1143497	0,0866831
7,3600001	0,1111585	0,0831081	0,0988774	0,0910169
7,4000006	0,1232553	0,1055985	0,0926522	0,1092438
7,4400005	0,1135806	0,1048477	0,0888617	0,1004197
7,4800005	0,1305495	0,1138695	0,0901499	0,0895867
7,5200005	0,1327868	0,1045448	0,109321	0,086211
7,5600004	0,1391793	0,1087552	0,1236321	0,1004051
7,6000004	0,1399397	0,0943854	0,0985609	0,1014148
7,6400003	0,125161	0,10375	0,1010661	0,1000941
7,6800003	0,1457873	0,1075598	0,1121142	0,0959576
7,7200003	0,1325528	0,0942764	0,1141657	0,0994695
7,7600002	0,1509389	0,1221	0,1158952	0,1025784
7,8000002	0,1270619	0,093164	0,1211435	0,0945572
7,8400002	0,140919	0,1056218	0,1237028	0,0849125
7,8800006	0,1246126	0,0962323	0,1154397	0,093251
7,9200006	0,1302124	0,1095669	0,1265578	0,0965611
7,9600005	0,1334447	0,1097256	0,1180499	0,0966088
8	0,1374873	0,1033839	0,1166783	0,0938573
8,04	0,1235951	0,0917182	0,1140729	0,0964914
8,0799999	0,1592177	0,1098004	0,1390114	0,0971443
8,1200008	0,1484793	0,1108364	0,122431	0,0919918
8,1600008	0,1509865	0,1063084	0,1290735	0,0975758
8,2000008	0,138844	0,0963013	0,1258013	0,0976663
8,2400007	0,1556615	0,105694	0,1162108	0,1078341
8,2800007	0,1387645	0,0957003	0,1217483	0,1171596
8,3200006	0,1415718	0,1041601	0,1204503	0,1166004
8,3600006	0,1316886	0,1022692	0,1140087	0,1165333
8,4000006	0,1285517	0,1047745	0,1196353	0,0995434
8,4400005	0,1236851	0,1038511	0,1145795	0,1170165
8,4800005	0,1219453	0,1001618	0,1130105	0,10116
8,5200005	0,1345007	0,08979	0,1080111	0,10262
8,5600004	0,1274063	0,0987353	0,1109639	0,1041158
8,6000004	0,1292455	0,100315	0,1061616	0,0995013
8,6400003	0,1329347	0,1088436	0,1120854	0,0939674
8,6800003	0,1175176	0,0838456	0,1226631	0,0934158
8,7200003	0,1170957	0,110353	0,0992659	0,1013096
8,7600002	0,1231588	0,0969234	0,1131347	0,1042768
8,8000002	0,1286	0,1010677	0,1105832	0,0915121
8,8400002	0,1309044	0,1145788	0,1058009	0,1029249
8,8800001	0,128478	0,1025223	0,1070844	0,0860612
8,9200001	0,1142338	0,1024032	0,0962084	0,0980196
8,96	0,1255621	0,1030912	0,1069405	0,1039438
9	0,1255606	0,1001841	0,0998548	0,0996514
9,04	0,1339285	0,1146247	0,1125002	0,1090141
9,0800009	0,1471798	0,1292319	0,1181134	0,1034396
9,1200008	0,1351059	0,1174944	0,1057166	0,1107681
9,1600008	0,1473271	0,1263371	0,1228888	0,1007783
9,2000008	0,1381574	0,1023605	0,1276941	0,1000358
9,2400007	0,1340878	0,1072716	0,1115589	0,1026567
9,2800007	0,144298	0,1205692	0,1176308	0,1166244
9,3200006	0,1411049	0,1210748	0,1045	0,0987811
9,3600006	0,1253254	0,102613	0,0962981	0,0841993
9,4000006	0,1693476	0,1261465	0,1243442	0,1061486
9,4400005	0,1173936	0,0903272	0,1058937	0,1004328
9,4800005	0,12939	0,1067562	0,1178358	0,1023069
9,5200005	0,1362755	0,1255105	0,1048633	0,0999374
9,5600004	0,1532567	0,1361646	0,0979242	0,1114805
