@TYPE	VH+VL	VH	VL	CD20	
@	Y105A	Y105A	Y105A	Y105A	
9,7200003	0,1519818	0,1091601	0,1554367	0,1476156	
9,7600002	0,1558875	0,1273506	0,1510081	0,159711	
9,8000002	0,1465593	0,1086465	0,1439679	0,1645923	
9,8400002	0,1538226	0,1222104	0,1431024	0,1335474	
9,8800001	0,1338065	0,1145729	0,1339222	0,146904	
9,9200001	0,1468976	0,1249596	0,1343958	0,180348	
9,96	0,1414072	0,1213135	0,1436785	0,1757294	
10	0,1346994	0,1258198	0,1359732	0,1652539	
10,0400009	0,1224777	0,1151381	0,1155787	0,1783955	
10,0800009	0,1374439	0,1212124	0,1359042	0,1606382	
10,1200008	0,1361029	0,1203903	0,1314856	0,1473853	
10,1600008	0,1282346	0,1152972	0,1331306	0,1670026	
10,2000008	0,1385638	0,125614	0,1389843	0,1873014	
10,2400007	0,1441527	0,1334562	0,1450066	0,1550714	
10,2800007	0,1516363	0,14159	0,1417664	0,149147	
10,3200006	0,1407989	0,1225246	0,132156	0,1548484	
10,3600006	0,1355135	0,1257026	0,1378265	0,1365238	
10,4000006	0,1454568	0,1358514	0,1515646	0,133576	
10,4400005	0,1504242	0,1193512	0,1678045	0,1264857	
10,4800005	0,1534737	0,1289712	0,1651993	0,1228256	
10,5200005	0,148639	0,142905	0,1474419	0,1257903	
10,5600004	0,1499152	0,1248087	0,1564137	0,1355396	
10,6000004	0,1534488	0,1288287	0,1492384	0,1450453	
10,6400003	0,1461552	0,1315618	0,1439623	0,1378503	
10,6800003	0,1359546	0,122631	0,1350656	0,1378576	
10,7200003	0,1420919	0,129178	0,1372739	0,1231555	
10,7600002	0,1403373	0,1244268	0,1392917	0,1489563	
10,8000002	0,142725	0,1288098	0,1379317	0,1535121	
10,8400002	0,144754	0,1178741	0,1333553	0,1518611	
10,8800001	0,1490397	0,1235633	0,1519475	0,1512692	
10,9200001	0,1389192	0,1228053	0,1343083	0,147158	
10,960001	0,1511053	0,1268126	0,1410988	0,1493794	
11,000001	0,1417165	0,1135701	0,1403605	0,1381689	
11,0400009	0,1449111	0,1401815	0,1403492	0,1372382	
11,0800009	0,1564649	0,1250703	0,1498394	0,1349915	
11,1200008	0,1407657	0,1242015	0,1420846	0,13006	
11,1600008	0,1405273	0,1332422	0,1320803	0,1258699	
11,2000008	0,1369725	0,1115477	0,1453763	0,1317641	
11,2400007	0,1396383	0,124719	0,1371204	0,1304502	
11,2800007	0,146399	0,1198757	0,1334202	0,1350116	
11,3200006	0,1312529	0,1096722	0,1265254	0,1257722	
11,3600006	0,1371649	0,1146181	0,1265159	0,1284483	
11,4000006	0,1547019	0,1305882	0,1471038	0,1269952	
11,4400005	0,1590385	0,1296109	0,1590061	0,1387908	
11,4800005	0,1362604	0,1154272	0,1224912	0,1315021	
11,5200005	0,1558527	0,1327187	0,1438846	0,1344228	
11,5600004	0,1497967	0,1389603	0,1340418	0,1472483	
