@TYPE	VH+VL	VH	VL	CD20
@	nativo	nativo	nativo	nativo
9,5200005	0,2169881	0,1925311	0,1957342	0,2301075
9,5600004	0,220953	0,206887	0,2019252	0,2429986
9,6000004	0,2020405	0,1839856	0,183428	0,2298151
9,6400003	0,2143134	0,19669	0,1930409	0,233094
9,6800003	0,2178108	0,1983294	0,1962639	0,2472168
9,7200003	0,2288377	0,1873575	0,1957044	0,2505828
9,7600002	0,2344434	0,2159518	0,1982606	0,2560821
9,8000002	0,2228075	0,1950074	0,1940399	0,2304147
9,8400002	0,2246643	0,2014748	0,1953134	0,2319804
9,8800001	0,1976737	0,178041	0,1800983	0,2322062
9,9200001	0,2045309	0,1810073	0,1857941	0,2427802
9,96	0,2160973	0,2020213	0,192978	0,2478798
10	0,2341179	0,1925064	0,1902575	0,234704
10,0400009	0,2068875	0,1849764	0,1753174	0,2303647
10,0800009	0,2174984	0,1780445	0,1851304	0,2452262
10,1200008	0,2078978	0,1787316	0,1976631	0,2294569
10,1600008	0,2129998	0,165984	0,1879561	0,2422302
10,2000008	0,2177039	0,1861376	0,1981208	0,2362882
10,2400007	0,2188232	0,1815875	0,1924097	0,2440518
10,2800007	0,2209149	0,1906503	0,2030253	0,2390656
10,3200006	0,2198846	0,1840868	0,2057693	0,2083077
10,3600006	0,2185847	0,1857195	0,205892	0,2186414
10,4000006	0,2159961	0,1838672	0,1992797	0,2226478
10,4400005	0,2125533	0,1798848	0,2056126	0,2251821
10,4800005	0,2285341	0,1890434	0,198382	0,2365143
10,5200005	0,2039268	0,1833693	0,1832464	0,2125798
10,5600004	0,2080901	0,1803092	0,1814167	0,2070599
10,6000004	0,2198462	0,1975583	0,1927417	0,2267782
10,6400003	0,2197107	0,1941777	0,2024366	0,232184
10,6800003	0,2182569	0,1931304	0,1881319	0,2323542
10,7200003	0,2413552	0,1980198	0,1975485	0,2153645
10,7600002	0,2295052	0,1943514	0,2026271	0,2195732
10,8000002	0,2402001	0,206918	0,2074472	0,2081804
10,8400002	0,2310076	0,195404	0,2148998	0,2296365
10,8800001	0,2342784	0,2005351	0,2160951	0,2223095
10,9200001	0,2406177	0,2090027	0,2124877	0,2246041
10,960001	0,2371669	0,1953136	0,2071002	0,2209866
11,000001	0,2334176	0,2092761	0,2032292	0,2067179
11,0400009	0,2258896	0,1952256	0,2059964	0,2190351
11,0800009	0,2303371	0,2007935	0,2137264	0,2399025
11,1200008	0,2286278	0,2074755	0,2151068	0,2226763
11,1600008	0,2352491	0,2078798	0,2130815	0,2157706
11,2000008	0,2295186	0,2109089	0,2018379	0,2111309
11,2400007	0,2194651	0,1963586	0,1971494	0,2245413
11,2800007	0,2166846	0,1937126	0,2001152	0,2298659
11,3200006	0,226217	0,1955124	0,2026574	0,2395959
11,3600006	0,2262591	0,2003279	0,2024964	0,1983971
11,4000006	0,2113767	0,1902902	0,1931784	0,2225647
11,4400005	0,2144738	0,1857665	0,1960094	0,2276889
11,4800005	0,2277648	0,1998993	0,2014291	0,2219266
11,5200005	0,2168128	0,1827959	0,1947524	0,2223445
11,5600004	0,2280865	0,1894063	0,1954965	0,2208655
11,6000004	0,2100579	0,1879846	0,1972478	0,2165458
11,6400003	0,2053142	0,1818748	0,194645	0,2171865
11,6800003	0,2154332	0,1843395	0,1930771	0,2206007
11,7200003	0,2139169	0,1819539	0,1999574	0,2228145
11,7600002	0,2081535	0,183283	0,1928572	0,2227148
11,8000002	0,2038071	0,1779277	0,1963421	0,2119511
11,8400002	0,2058787	0,1724433	0,2067354	0,2179846
11,8800001	0,2095178	0,1789112	0,191959	0,2060553
11,920001	0,1993445	0,1810237	0,1882432	0,2187385
11,960001	0,2065393	0,1694538	0,1953876	0,2330412
12,000001	0,1902969	0,164097	0,1946668	0,223222
12,0400009	0,1901567	0,1601208	0,1891209	0,2319308
12,0800009	0,1926355	0,162674	0,1785875	0,2314118
12,1200008	0,1989374	0,1719966	0,1862046	0,2295439
12,1600008	0,1901499	0,1655563	0,1911637	0,2176156
12,2000008	0,1937121	0,1763963	0,1848756	0,2135496
12,2400007	0,2155385	0,1816406	0,1988341	0,2187771
12,2800007	0,2106112	0,181319	0,2056167	0,2035848
12,3200006	0,2178431	0,1840371	0,2099028	0,2020113
12,3600006	0,2241233	0,1926748	0,2017948	0,2094163
12,4000006	0,2160681	0,2018629	0,194808	0,2209886
12,4400005	0,2250644	0,2119565	0,2001477	0,2233526
12,4800005	0,2060013	0,1919977	0,1860543	0,2150219
12,5200005	0,2168776	0,2043512	0,1929726	0,2118668
12,5600004	0,1998093	0,1818067	0,1870465	0,209386
12,6000004	0,2090826	0,1888447	0,1913607	0,2139906
12,6400003	0,2044989	0,1910124	0,1881504	0,2247264
12,6800003	0,2026841	0,1819517	0,188113	0,219961
12,7200003	0,2125996	0,1822146	0,1876922	0,2051288
12,7600002	0,214604	0,1770457	0,1927302	0,2085379
12,8000002	0,1967626	0,1741015	0,187453	0,216219
12,8400002	0,2060719	0,1804419	0,1865761	0,2046487
12,8800011	0,2009451	0,1754459	0,188324	0,2325237
12,920001	0,2059648	0,1839188	0,188559	0,2333538
12,960001	0,1985337	0,1924082	0,1875781	0,2195433
13,000001	0,2126457	0,1854348	0,2062452	0,2290043
13,0400009	0,2183618	0,1752774	0,2056104	0,2290771
13,0800009	0,2139844	0,1879284	0,2044727	0,2231645
13,1200008	0,2123729	0,1818801	0,1999154	0,2212664
13,1600008	0,2065226	0,1888064	0,1940477	0,2146847
13,2000008	0,2101337	0,207761	0,1831896	0,2201774
13,2400007	0,2159612	0,2009075	0,1924536	0,2317557
13,2800007	0,2245978	0,2036094	0,2002555	0,2266978
13,3200006	0,2132159	0,1889456	0,2011883	0,2154143
13,3600006	0,2175607	0,2067387	0,1819351	0,21607
13,4000006	0,2178387	0,185613	0,1851558	0,2339223
13,4400005	0,2375902	0,2119409	0,2021803	0,2253188
13,4800005	0,2408905	0,2106661	0,2188498	0,2184248
13,5200005	0,2221565	0,1953281	0,2124397	0,2196502
13,5600004	0,2128888	0,1952279	0,1872781	0,2267616
13,6000004	0,2191269	0,1967522	0,1973445	0,2167013
13,6400003	0,2250872	0,2044057	0,2034691	0,2279851
13,6800003	0,231059	0,2010595	0,2232297	0,212933
13,7200003	0,2200581	0,1959475	0,2049778	0,2337237
13,7600002	0,2104617	0,186266	0,2002341	0,2358646
13,8000002	0,2293277	0,1917361	0,2250478	0,2359463
13,8400011	0,2315784	0,1784553	0,2003807	0,2280517
13,8800011	0,240299	0,2029463	0,2166181	0,2212491
13,920001	0,2216529	0,1964266	0,2056781	0,2317223
13,960001	0,2205948	0,190655	0,1994915	0,2205541
14,000001	0,2126296	0,1965467	0,1914842	0,2260439
14,0400009	0,2087872	0,1876721	0,1984233	0,2095351
14,0800009	0,2198529	0,1844993	0,2018335	0,2178833
14,1200008	0,2259637	0,2121016	0,2069706	0,2205628
14,1600008	0,2133929	0,2008161	0,2023876	0,2139515
14,2000008	0,2197135	0,1978948	0,2097865	0,2211874
14,2400007	0,2367996	0,1814048	0,2504012	0,2427435
14,2800007	0,2177611	0,1841262	0,2218365	0,2336984
14,3200006	0,2284983	0,1764979	0,2348199	0,2256429
14,3600006	0,2329809	0,1729601	0,2356573	0,2260816
14,4000006	0,2182899	0,1848427	0,2089258	0,2261757
14,4400005	0,2204889	0,1667299	0,2210473	0,2216012
14,4800005	0,2166714	0,1883572	0,2085862	0,2200102
14,5200005	0,2225744	0,2033172	0,2154406	0,2270904
14,5600004	0,2310343	0,1859439	0,2215333	0,2176166
14,6000004	0,2318105	0,1773173	0,2147874	0,2136633
14,6400003	0,2200749	0,1724214	0,2360795	0,222064
14,6800003	0,2199091	0,1841884	0,2233955	0,239236
14,7200003	0,2264739	0,1902359	0,219299	0,2319294
14,7600002	0,2250344	0,1885944	0,2172684	0,221159
14,8000011	0,2213231	0,191162	0,2184318	0,2314638
